tourney_name	Elo
Adelaide 2	1776.034375
Birmingham	1768.184375
Washington	1754.83548387097
Melbourne 2	1753.44666666667
Bad Homburg	1743.38125
Tallinn	1741.57096774194
Portoroz	1723.971875
Melbourne 1	1716.58064516129
s Hertogenbosch	1706.34838709677
Cleveland	1699.015625
Istanbul	1695.9375
Nottingham	1695.315625
Lausanne	1688.53125
Monterrey	1687.7
Monastir	1681.24137931034
Guadalajara	1678.928125
Parma	1671.046875
Cluj Napoca	1665.915625
Lyon	1664.4875
Hamburg	1657.25625
Strasbourg	1652.34285714286
Budapest	1651.61935483871
Warsaw	1647.96129032258
Palermo	1643.3875
Prague	1638.109375
Granby	1627.79
Seoul	1583.59655172414
Rabat	1570.409375
Bogota	1547.14838709677
Chennai	1545.52580645161
