tourney_name,tourney_level,Elo
Adelaide,250,1776.034375
Birmingham,250,1768.184375
Washington,250,1754.835484
Melbourne (B),250,1753.446667
Bad Homburg,250,1743.38125
Tallinn,250,1741.570968
Portoroz,250,1723.971875
Melbourne (A),250,1716.580645
s Hertogenbosch,250,1706.348387
Cleveland,250,1699.015625
Istanbul,250,1695.9375
Nottingham,250,1695.315625
Lausanne,250,1688.53125
Monterrey,250,1687.7
Monastir,250,1681.241379
Guadalajara,250,1678.928125
Parma,250,1671.046875
Cluj Napoca,250,1665.915625
Lyon,250,1664.4875
Hamburg,250,1657.25625
Strasbourg,250,1652.342857
Budapest,250,1651.619355
Warsaw,250,1647.96129
Palermo,250,1643.3875
Prague,250,1638.109375
Granby,250,1627.79
Seoul,250,1583.596552
Rabat,250,1570.409375
Bogota,250,1547.148387
Chennai,250,1545.525806
Dubai,500,1875.159375
Ostrava,500,1861.860714
Stuttgart,500,1840.425
San Diego,500,1830.060714
San Jose,500,1820.857143
Berlin,500,1819.865625
St. Petersburg,500,1806.48125
Eastbourne,500,1785.91875
Sydney,500,1781.172414
Adelaide,500,1760.05
Charleston,500,1723.927778
Tokyo,500,1722.559259
Cincinnati,900,1862.477778
Rome,900,1841.576364
Toronto,900,1834.431481
Doha,900,1831.296429
Guadalajara,900,1802.076786
